date,startTime,endTime,filePath,frequency
2023/10/10,11:30:00,11:40:00,/home/yash/be_project/.git/hooks/,24
2023/10/10,11:30:00,11:40:00,/home/yash/be_project/.git/,28
2023/10/10,11:30:00,11:40:00,/home/yash/be_project/.git/info/,2
2023/10/10,11:30:00,11:40:00,/home/yash/be_project/.git/config,14
2023/10/10,11:30:00,11:40:00,/home/yash/be_project/.git/HEAD,39
2023/10/10,11:30:00,11:40:00,.git/config,129
2023/10/10,11:30:00,11:40:00,/home/yash/be_project/.git,1
2023/10/10,11:30:00,11:40:00,.git/HEAD,40
2023/10/10,11:30:00,11:40:00,.git/info/exclude,5
2023/10/10,11:30:00,11:40:00,.vscode/,4
2023/10/10,11:30:00,11:40:00,.cph/,4
2023/10/10,11:30:00,11:40:00,/home/yash/be_project/count_f_1.py,1
2023/10/10,11:30:00,11:40:00,/home/yash/be_project/count_frequencies.py,1
2023/10/10,11:30:00,11:40:00,refs,2
2023/10/10,11:30:00,11:40:00,tags,1
2023/10/10,11:30:00,11:40:00,heads,1
2023/10/10,11:30:00,11:40:00,info,3
2023/10/10,11:30:00,11:40:00,hooks,2
2023/10/10,11:30:00,11:40:00,objects,2
2023/10/10,11:30:00,11:40:00,pack,1
2023/10/10,11:30:00,11:40:00,branches,1
2023/10/10,11:30:00,11:40:00,.cph/.yz.cpp_7db494f9d2435dd7fd9dcfb9aa072b26.prob,2
2023/10/10,11:30:00,11:40:00,.git/objects/5e/,1
2023/10/10,11:30:00,11:40:00,.vscode/tasks.json,2
2023/10/10,11:30:00,11:40:00,.git/objects/08/,1
2023/10/10,11:30:00,11:40:00,abc.txt,2
2023/10/10,11:30:00,11:40:00,abcd.txt,2
2023/10/10,11:30:00,11:40:00,count_f_1.py,2
2023/10/10,11:30:00,11:40:00,count_frequencies.py,2
2023/10/10,11:30:00,11:40:00,saved_progress.txt,2
2023/10/10,11:30:00,11:40:00,saved_progress_1.txt,2
2023/10/10,11:30:00,11:40:00,test/abcd.txt,1
2023/10/10,11:30:00,11:40:00,test/saved_progress.txt,2
2023/10/10,11:30:00,11:40:00,.git/index,2
2023/10/10,11:30:00,11:40:00,.git/objects/94/,1
2023/10/10,11:30:00,11:40:00,.git/objects/bf/,1
2023/10/10,11:30:00,11:40:00,.git/objects/4f/,1
2023/10/10,11:30:00,11:40:00,.git/COMMIT_EDITMSG,1
2023/10/10,11:30:00,11:40:00,.git/objects/4f/214ddcdf0b8c93cd307896da77e584ff6c94d7,2
2023/10/10,11:30:00,11:40:00,.git/objects/9e/,1
2023/10/10,11:30:00,11:40:00,/home/yash/be_project/.git/refs/heads/,2
2023/10/10,11:30:00,11:40:00,.git/objects/9e/0b2d86beced2c615ce307f98a7ae55ee2b9382,4
2023/10/10,11:30:00,11:40:00,.git/refs/heads/master,13
2023/10/10,11:30:00,11:40:00,.git/objects/94/827fdaf2dcefc2208f65c0bbbe32cc61654aa8,1
2023/10/10,11:30:00,11:40:00,.git/objects/bf/dd94286a5845175f1aeaa69b61048328409cbf,1
2023/10/10,11:30:00,11:40:00,.git/objects/d6/c90a5a06dea5f1e6812ebf0f9aaf45fe101ddc,1
2023/10/10,11:30:00,11:40:00,.git/objects/9e,1
2023/10/10,11:30:00,11:40:00,.git/refs/heads/main,8
2023/10/10,11:40:00,11:50:00,/home/yash/be_project/.git/HEAD,10
2023/10/10,11:40:00,11:50:00,.git/config,50
2023/10/10,11:40:00,11:50:00,.git/HEAD,30
2023/10/10,11:40:00,11:50:00,.git/refs/heads/main,30
2023/10/10,11:40:00,11:50:00,.git/refs/heads/master,10
2023/10/10,11:50:00,12:00:00,/home/yash/be_project/.git/HEAD,5
2023/10/10,11:50:00,12:00:00,.git/config,21
2023/10/10,11:50:00,12:00:00,.git/HEAD,12
2023/10/10,11:50:00,12:00:00,.git/refs/heads/main,11
2023/10/10,11:50:00,12:00:00,.git/refs/heads/master,2
2023/10/10,11:50:00,12:00:00,.git/index,3
2023/10/10,11:50:00,12:00:00,.git/objects/9e/0b2d86beced2c615ce307f98a7ae55ee2b9382,1
2023/10/10,11:50:00,12:00:00,.git/objects/4f/214ddcdf0b8c93cd307896da77e584ff6c94d7,1
2023/10/10,11:50:00,12:00:00,.git/info/exclude,1
2024/1/2,01:30:00,01:40:00,/home/yash/be_project/count_f_1.py,3
2024/1/2,01:30:00,01:40:00,/home/yash/be_project/reset.py,7
2024/1/2,01:30:00,01:40:00,/home/yash/be_project/move.py,3
2024/1/2,01:30:00,01:40:00,/home/yash/be_project/count_frequencies.py,3
2024/1/2,01:30:00,01:40:00,/home/yash/be_project/.vscode/tasks.json,1
2024/1/2,01:30:00,01:40:00,.vscode,1
2024/1/2,01:30:00,01:40:00,.cph,1
2024/1/2,01:30:00,01:40:00,/home/yash/be_project/abcd.txt,3
2024/1/2,02:10:00,02:20:00,/home/yash/be_proj_git/ai_driven_file_system/csv_data.csv,1
2024/1/2,02:10:00,02:20:00,/home/yash/be_proj_git/ai_driven_file_system/.git/HEAD,8
2024/1/2,02:10:00,02:20:00,/home/yash/be_proj_git/ai_driven_file_system/.git/config,2
2024/1/2,02:10:00,02:20:00,.git/config,16
2024/1/2,02:10:00,02:20:00,.git/refs/heads/main,12
2024/1/2,02:10:00,02:20:00,.git/packed-refs,4
2024/1/2,02:10:00,02:20:00,.git/HEAD,8
2024/1/2,02:10:00,02:20:00,.git/refs/remotes/origin/main,4
2024/1/2,02:10:00,02:20:00,.git/objects/72/23a60db80d39ec851a3169feecde269d0d2a16,8
2024/1/2,02:10:00,02:20:00,.git/index,2
2024/1/2,02:10:00,02:20:00,.git/objects/da/33f2e1a612a69e3a9359d09bc0ce1b0df7ac9c,2
2024/1/2,02:10:00,02:20:00,.git/info/exclude,2
2024/1/2,02:10:00,02:20:00,abc.txt,3
2024/1/2,02:10:00,02:20:00,/home/yash/be_proj_git/ai_driven_file_system/abc.txt,1
2024/1/2,02:10:00,02:20:00,/home/yash/be_proj_git/ai_driven_file_system/dataset_creation.py,3
2024/1/2,02:10:00,02:20:00,/home/yash/be_proj_git/ai_driven_file_system/.git/config,2
2024/1/2,02:10:00,02:20:00,/home/yash/be_proj_git/ai_driven_file_system/.git/HEAD,8
2024/1/2,02:10:00,02:20:00,.git/config,16
2024/1/2,02:10:00,02:20:00,.git/refs/heads/main,12
2024/1/2,02:10:00,02:20:00,.git/packed-refs,4
2024/1/2,02:10:00,02:20:00,.git/HEAD,8
2024/1/2,02:10:00,02:20:00,.git/refs/remotes/origin/main,4
